k,feature,mean_abs_shap
1,cat__dyn_cat__resource_Group 37,0.012852995656430721
1,cat__dyn_cat__resource_Group 39,0.017779646441340446
1,cat__dyn_cat__resource_Group 46,0.00012231570144649595
1,cat__dyn_cat__resource_Group 47,0.0
1,cat__dyn_cat__resource_Group 48,0.006251095328480005
1,cat__dyn_cat__resource_Group 49,0.0
1,cat__dyn_cat__resource_Group 5,0.0
1,cat__dyn_cat__resource_Group 50,0.0
1,cat__dyn_cat__resource_Group 51,0.00020235763804521412
1,cat__dyn_cat__resource_Group 53,0.0
1,cat__dyn_cat__resource_Group 54,0.001576103619299829
1,cat__dyn_cat__resource_Group 55,0.00025639840168878436
1,cat__dyn_cat__resource_Group 56,0.0
1,cat__dyn_cat__resource_Group 57,0.007407201919704676
1,cat__dyn_cat__resource_Group 58,0.005413013510406017
1,cat__dyn_cat__resource_Group 6,0.0005025844438932836
1,cat__dyn_cat__resource_Group 62,0.0002378161298111081
1,cat__dyn_cat__resource_Group 64,0.0020512796472758055
1,cat__dyn_cat__resource_Group 65,7.752382225589827e-05
1,cat__dyn_cat__resource_Group 66,0.0025414598640054464
1,cat__dyn_cat__resource_Group 69,1.6675012375344522e-05
1,cat__dyn_cat__resource_Group 70,0.1545645296573639
1,cat__dyn_cat__resource_Group 72,0.01069737784564495
1,cat__dyn_cat__resource_Group 73,0.00622100755572319
1,cat__dyn_cat__resource_Group 74,0.000690095592290163
1,cat__dyn_cat__resource_Group 75,0.0018332585459575057
1,cat__dyn_cat__resource_Group 76,0.011458225548267365
1,cat__dyn_cat__resource_Group 77,0.0
1,cat__dyn_cat__resource_Group 81,0.0
1,cat__dyn_cat__resource_Group 9,0.010804167948663235
1,cat__dyn_cat__resource___MISSING__,0.05133338272571564
1,cat__dyn_cat__resource_infrequent_sklearn,0.0001407577219652012
2,num__num__k,0.0006810613558627665
2,num__num__n_distinct_activities,0.013016650453209877
2,num__num__n_distinct_resources,0.00979133415967226
2,num__num__n_resource_changes,0.007174638565629721
2,num__num__n_activity_repeats,0.004867916461080313
2,num__num__n_waiting_events,0.002474712673574686
2,num__num__frac_waiting,0.0034211757592856884
2,num__num__last_gap_h,0.007105653174221516
2,num__num__max_gap_h,0.18090695142745972
2,num__num__elapsed_h,0.38158348202705383
2,num__num__log_elapsed_h,0.10016181319952011
2,num__num__mean_gap_h,0.11100802570581436
2,num__num__hour_of_k,0.04355049133300781
2,num__num__dow_of_k,0.04017479345202446
2,num__num__arrivals_24h,0.1263747662305832
2,num__num__arrivals_7d,0.5097604990005493
2,num__static__opened_hour,0.05879337713122368
2,num__static__opened_dow,0.15227830410003662
2,num__static__opened_is_offhours,0.003120692679658532
2,num__dyn_num__reassignment_count,0.009103386662900448
2,num__dyn_num__reopen_count,0.001044382923282683
2,num__dyn_num__sys_mod_count,0.0012803631834685802
2,num__dyn_cat__assigned_to_known,0.03283729404211044
2,num__static__knowledge,0.2717549800872803
2,num__static__u_priority_confirmation,0.0
2,num__static__cmdb_ci_known,0.00012482190504670143
2,cat__dyn_cat__priority_1 - Critical,0.048271194100379944
2,cat__dyn_cat__priority_2 - High,0.1162019819021225
2,cat__dyn_cat__priority_3 - Moderate,0.06439020484685898
2,cat__dyn_cat__priority_4 - Low,0.11254674941301346
2,cat__static__category_Category 13,0.001217702287249267
2,cat__static__category_Category 17,2.9993341740919277e-05
2,cat__static__category_Category 19,0.00014976112288422883
2,cat__static__category_Category 20,0.006308904383331537
2,cat__static__category_Category 22,0.0
2,cat__static__category_Category 23,0.0022963702213019133
2,cat__static__category_Category 24,0.009677179157733917
2,cat__static__category_Category 26,0.012549939565360546
2,cat__static__category_Category 28,0.0020253201946616173
2,cat__static__category_Category 32,0.0035338804591447115
2,cat__static__category_Category 34,0.0011777307372540236
2,cat__static__category_Category 35,0.0001807305234251544
2,cat__static__category_Category 37,0.0029234723187983036
2,cat__static__category_Category 38,1.5230465578497387e-05
2,cat__static__category_Category 40,0.000733090506400913
2,cat__static__category_Category 41,0.0
2,cat__static__category_Category 42,0.0042267958633601665
2,cat__static__category_Category 43,0.0026848893612623215
2,cat__static__category_Category 44,0.00032556045334786177
2,cat__static__category_Category 45,0.004907028283923864
2,cat__static__category_Category 46,0.0440058596432209
2,cat__static__category_Category 51,0.0010728702181950212
2,cat__static__category_Category 53,0.0016203038394451141
2,cat__static__category_Category 55,0.00012970060924999416
2,cat__static__category_Category 57,0.010198387317359447
2,cat__static__category_Category 61,0.005170262418687344
2,cat__static__category_Category 63,0.0
2,cat__static__category_Category 7,0.0
2,cat__static__category_Category 8,0.0003151965793222189
2,cat__static__category_Category 9,0.011455349624156952
2,cat__static__category_infrequent_sklearn,0.002789547201246023
2,cat__static__subcategory_Subcategory 103,0.004137777257710695
2,cat__static__subcategory_Subcategory 107,0.0
2,cat__static__subcategory_Subcategory 114,0.0002570990764070302
2,cat__static__subcategory_Subcategory 117,0.0015112508554011583
2,cat__static__subcategory_Subcategory 123,0.00038384064100682735
2,cat__static__subcategory_Subcategory 125,2.971159301523585e-05
2,cat__static__subcategory_Subcategory 130,5.0956430641235784e-05
2,cat__static__subcategory_Subcategory 134,0.0003684090916067362
2,cat__static__subcategory_Subcategory 135,0.00262070563621819
2,cat__static__subcategory_Subcategory 150,0.009356091730296612
2,cat__static__subcategory_Subcategory 154,7.229809125419706e-05
2,cat__static__subcategory_Subcategory 16,0.00028945363010279834
2,cat__static__subcategory_Subcategory 163,0.005481386091560125
2,cat__static__subcategory_Subcategory 164,0.001765807275660336
2,cat__static__subcategory_Subcategory 168,0.00029666416230611503
2,cat__static__subcategory_Subcategory 170,0.0016796619165688753
2,cat__static__subcategory_Subcategory 174,0.010949356481432915
2,cat__static__subcategory_Subcategory 175,0.018075302243232727
2,cat__static__subcategory_Subcategory 183,0.002647018525749445
2,cat__static__subcategory_Subcategory 185,0.002078605815768242
2,cat__static__subcategory_Subcategory 200,0.002228653058409691
2,cat__static__subcategory_Subcategory 202,6.690561713185161e-05
2,cat__static__subcategory_Subcategory 215,0.0
2,cat__static__subcategory_Subcategory 220,0.007134380750358105
2,cat__static__subcategory_Subcategory 223,0.0063800751231610775
2,cat__static__subcategory_Subcategory 224,0.00022501633793581277
2,cat__static__subcategory_Subcategory 229,0.0016953840386122465
2,cat__static__subcategory_Subcategory 251,0.0005390446749515831
2,cat__static__subcategory_Subcategory 271,2.5394616386620328e-05
2,cat__static__subcategory_Subcategory 275,0.0007241676212288439
2,cat__static__subcategory_Subcategory 28,0.0026281699538230896
2,cat__static__subcategory_Subcategory 289,0.00019427230290602893
2,cat__static__subcategory_Subcategory 29,0.00014220002049114555
2,cat__static__subcategory_Subcategory 3,0.0035779813770204782
